id,split,expected,predicted,topic,question,retrieval_question,top1,top2,mean_top5,margin,lexical_overlap,top_chunk,top_pages,query_ms
c-g01,calibration,GROUNDED,,derivatives,What is a derivative?,What is a derivative?,0.6972494125366211,0.6885697841644287,0.6696956753730774,0.008679628372192383,0.0,"of variation (or “fluxion”) was ˙ y. Ifxwas the variable, then its fluxion was called ˙ x. The dot over the letter indicated that it had been differentiated. But this notation does not tell us what is the independent variable with respect to which the differentiation has been effected. When we seedy dt we know that yis to be differentiated with respect to t. If we seedy dx we know that yis to be differentiated with respect to x. But if we see merely ˙ y, we cannot tell without looking at the context whether this is to meandy dxordy dtordy dz, or what is the other variable. So, therefore, this fluxional notation is less informing than the differential notation, and has in consequence largely dropped out of use. But its simplicity gives it an advantage if only we will agree to use it for those cases ex- clusively where time is the independent variable. In that case ˙ ywill meandy dtand ˙uwill meandu dt; and ¨ xwill meand2x dt2. Adopting this fluxional notation we may write the mechanical equa- tions considered in the paragraphs above, as follows: distance x, velocity v= ˙x, acceleration a= ˙v= ¨x, force f=m˙v=m¨x, work w=x×m¨x. Examples. (1) A body moves so that the distance x(in feet), which it travels from a certain point O, is given by the relation x= 0.2t2+ 10.4, where tis the time in seconds elapsed since a certain instant. Find the velocity WHEN TIME VARIES 59 and acceleration 5 seconds after the body began to move, and also find the corresponding values when the distance covered is 100 feet. Find also the average velocity during the first 10 seconds of its motion. (Suppose distances and motion to the right to be positive.) Now x= 0.2t2+ 10.4 v= ˙x=dx dt= 0.4t; and a= ¨x=d2x dt2= 0.4 = constant. When t= 0, x= 10.4 and v= 0. The body started from a point 10.4 feet to the right of the point O; and the time was reckoned from the instant the body started. When t= 5,v= 0.4×5 = 2 ft./sec.; a= 0.4 ft./sec2. When x= 100, 100 = 0 .2t2+ 10.4, or t2= 448, and t= 21.17 sec.; v= 0.4×21.17 = 8 .468 ft./sec. When t= 10, distance travelled = 0 .2×102+ 10.4−10.4 = 20 ft. Average velocity =20 10= 2 ft./sec. (It is the same velocity as the velocity at the",61-80,35.87
c-g02,calibration,GROUNDED,,derivatives,How do you differentiate x squared?,How do you differentiate x squared?,0.674860954284668,0.6681453585624695,0.657312273979187,0.006715595722198486,0.6666666666666666,"so the trick is done. By and bye, when you have learned how to deal with sines, and cosines, and exponentials, you will find this dodge of increasing useful- ness. Examples. Let us practise this dodge on a few examples. (1) Differentiate y=√a+x. Leta+x=u. du dx= 1; y=u1 2;dy du=1 2u−1 2=1 2(a+x)−1 2. dy dx=dy du×du dx=1 2√a+x. (2) Differentiate y=1√ a+x2. Leta+x2=u. du dx= 2x;y=u−1 2;dy du=−1 2u−3 2. dy dx=dy du×du dx=−xp (a+x2)3. CALCULUS MADE EASY 68 (3) Differentiate y= m−nx2 3+p x4 3a . Letm−nx2 3+px−4 3=u. du dx=−2 3nx−1 3−4 3px−7 3; y=ua;dy du=aua−1. dy dx=dy du×du dx=−a m−nx2 3+p x4 3a−1 (2 3nx−1 3+4 3px−7 3). (4) Differentiate y=1√ x3−a2. Letu=x3−a2. du dx= 3x2;y=u−1 2;dy du=−1 2(x3−a2)−3 2. dy dx=dy du×du dx=−3x2 2p (x3−a2)3. (5) Differentiate y=r 1−x 1 +x. Write this as y=(1−x)1 2 (1 +x)1 2. dy dx=(1 +x)1 2d(1−x)1 2 dx−(1−x)1 2d(1 +x)1 2 dx 1 +x. (We may also write y= (1−x)1 2(1 + x)−1 2and differentiate as a product.) Proceeding as in example (1) above, we get d(1−x)1 2 dx=−1 2√1−x; andd(1 +x)1 2 dx=1 2√1 +x. INTRODUCING A USEFUL DODGE 69 Hence dy dx=−(1 +x)1 2 2(1 + x)√1−x−(1−x)1 2 2(1 + x)√1 +x =−1 2√1 +x√1−x−√1−x 2p (1 +x)3; ordy dx=−1 (1 +x)√ 1−x2. (6) Differentiate y=r x3 1 +x2. We may write this y=x3 2(1 +x2)−1 2; dy dx=3 2x1 2(1 +x2)−1 2+x3 2×d (1 +x2)−1 2 dx. Differentiating (1 + x2)−1 2, as shown in example (2) above, we get d (1 +x2)−1 2 dx=−xp (1 +x2)3; so that dy dx=3√x 2√ 1 +x2−√ x5 p (1 +x2)3=√x(3 +x2) 2p (1 +x2)3. (7) Differentiate y= (x+√ x2+x+a)3. Letx+√ x2+x+a=u. du dx= 1 +d (x2+x+a)1 2 dx. y=u3; anddy du= 3u2= 3 x+√ x2+x+a2 .",61-80,31.0
c-g03,calibration,GROUNDED,,notation,What does dy over dx mean?,What does dy over dx mean?,0.6769922971725464,0.6749492883682251,0.6725354790687561,0.002043008804321289,0.5,"before we go on to any further cases, we have two remarks to make. When you are told to equatedy dxto zero, you feel at first (that is if you have any wits of your own) a kind of resentment, because you know thatdy dxhas all sorts of different values at different parts of the curve, according to whether it is sloping up or down. So, when you are suddenly told to write dy dx= 0, you resent it, and feel inclined to say that it can’t be true. Now you will have to understand the essential difference between “an equation,” and “an equation of condition.” Ordinarily you are dealing with equations that are true in themselves, but, on occasions, of which the present are examples, you have to write down equations that are not necessarily true, but are only true if certain conditions are to be fulfilled; and you write them down in order, by solving them, to find the conditions which make them true. Now we want to find the particular value that xhas when the curve is neither sloping up nor sloping down, that is, at the particular place wheredy dx= 0. So, writingdy dx= 0 does notmean that it always is = 0; but you write it down as a condition in order to see how much xwill come out ifdy dxis to be zero. CALCULUS MADE EASY 96 The second remark is one which (if you have any wits of your own) you will probably have already made: namely, that this much-belauded process of equating to zero entirely fails to tell you whether the xthat you thereby find is going to give you a maximum value of yor amin- imum value of y. Quite so. It does not of itself discriminate; it finds for you the right value of xbut leaves you to find out for yourselves whether the corresponding yis a maximum or a minimum. Of course, if you have plotted the curve, you know already which it will be. For instance, take the equation: y= 4x+1 x. Without stopping to think what curve it corresponds to, differenti- ate it, and equate to zero: dy dx= 4−x−2= 4−1 x2= 0; whence x=1 2; and, inserting this value, y= 4 will be either a maximum or else a minimum. But which? You will hereafter be told a way, depending upon a second differentiation, (see Chap.",101-120,27.66
c-g04,calibration,GROUNDED,,rules,What is the derivative of a constant?,What is the derivative of a constant?,0.692524254322052,0.6787998676300049,0.6669012308120728,0.01372438669204712,0.5,"we should get dyv=v du; or if we treat uas a constant, and differentiate with respect to v, we should have: dyu=u dv. The little letters here put as subscripts are to show which quantity has been taken as constant in the operation. PARTIAL DIFFERENTIATION 173 Another way of indicating that the differentiation has been per- formed only partially , that is, has been performed only with respect to oneof the independent variables, is to write the differential coefficients with Greek deltas, like ∂, instead of little d. In this way ∂y ∂u=v, ∂y ∂v=u. If we put in these values for vandurespectively, we shall have dyv=∂y ∂udu, dyu=∂y ∂vdv,  which are partial differentials . But, if you think of it, you will observe that the total variation of y depends on both these things at the same time. That is to say, if both are varying, the real dyought to be written dy=∂y ∂udu+∂y ∂vdv; and this is called a total differential . In some books it is written dy=dy du du+dy dv dv. Example (1). Find the partial differential coefficients of the expres- sionw= 2ax2+ 3bxy+ 4cy3. The answers are: ∂w ∂x= 4ax+ 3by. ∂w ∂y= 3bx+ 12cy2.   CALCULUS MADE EASY 174 The first is obtained by supposing yconstant, the second is obtained by supposing xconstant; then dw= (4ax+ 3by)dx+ (3bx+ 12cy2)dy. Example (2). Let z=xy. Then, treating first yand then xas constant, we get in the usual way ∂z ∂x=yxy−1, ∂z ∂y=xy×logϵx,   so that dz=yxy−1dx+xylogϵx dy. Example (3). A cone having height hand radius of base rhas volume V=1 3πr2h. If its height remains constant, while rchanges, the ratio of change of volume, with respect to radius, is different from ratio of change of volume with respect to height which would occur if the height were varied and the radius kept constant, for ∂V ∂r=2π 3rh, ∂V ∂h=π 3r2.   The variation when both the radius and the height change is given bydV=2π 3rh dV +π 3r2dh. Example (4). In the following example Fandfdenote two ar- bitrary functions of any form whatsoever. For example, they may be sine-functions, or exponentials, or mere algebraic functions of the two PARTIAL DIFFERENTIATION 175 independent variables, tandx. This being understood, let us take the expression y=F(x+at) +f(x−at), or, y=F(w) +f(v); where w=x+at, and v=x−at. Then∂y ∂x=∂F(w) ∂w·∂w ∂x+∂f(v) ∂v·∂v ∂x =F′(w)·1 +f′(v)·1 (where the figure",181-200,31.35
c-g05,calibration,GROUNDED,,applications,How do you find the maximum or minimum of a function?,How do you find the maximum or minimum of a function?,0.7540826797485352,0.7447798252105713,0.7424584031105042,0.009302854537963867,1.0,"so that if m+n+p= a constant number, m×n×pis a maximum when m=n=p. CALCULUS MADE EASY 98 Test Case. Let us at once apply our knowledge to a case that we can test. Let y=x2−x; and let us find whether this function has a maximum or minimum; and if so, test whether it is a maximum or a minimum. Differentiating, we get dy dx= 2x−1. Equating to zero, we get 2x−1 = 0 , whence 2 x= 1, or x=1 2. That is to say, when xis made =1 2, the corresponding value of y will be either a maximum or a minimum. Accordingly, putting x=1 2 in the original equation, we get y= (1 2)2−1 2, or y=−1 4. Is this a maximum or a minimum? To test it, try putting xa little bigger than1 2,—say make x= 0.6. Then y= (0.6)2−0.6 = 0 .36−0.6 =−0.24, which is higher up than −0.25; showing that y=−0.25 is a minimum . Plot the curve for yourself, and verify the calculation. MAXIMA AND MINIMA 99 Further Examples. A most interesting example is afforded by a curve that has both a maximum and a minimum. Its equation is: y=1 3x3−2x2+ 3x+ 1. Nowdy dx=x2−4x+ 3. 1 2 3 4 5123456 −4−3−2−1−1 XY O Fig. 28. Equating to zero, we get the quadratic, x2−4x+ 3 = 0; and solving the quadratic gives us tworoots, viz.   x= 3 x= 1. CALCULUS MADE EASY 100 Now, when x= 3, y= 1; and when x= 1, y= 21 3. The first of these is a minimum, the second a maximum. The curve itself may be plotted (as in Fig. 28) from the values calculated, as below, from the original equation. x−1 0 1 2 3 4 5 6 y−41 31 21 312 31 21 372 319 A further exercise in maxima and minima is afforded by the follow- ing example: The equation to a circle of radius r, having its centre Cat the point whose coordinates are x=a,y=b, as depicted in Fig. 29, is: (y−b)2+ (x−a)2=r2. b axyCr O XY Fig. 29. This may be transformed into y=p r2−(x−a)2+b. MAXIMA AND MINIMA 101 Now we know beforehand, by mere inspection of the figure, that when x=a,ywill be either at its maximum value, b+r, or else at its minimum value, b−r. But let us not take advantage of this knowledge; let us set about finding what value",101-120,32.34
c-g06,calibration,GROUNDED,,integration,What is integration?,What is integration?,0.6370512247085571,0.6254519820213318,0.6250213384628296,0.011599242687225342,1.0,"features of the integral calculus:—that you can’t in- tegrate anything before the reverse process of differentiating something else has yielded that expression which you want to integrate. No one, even to-day, is able to find the general integral of the expression, dy dx=a−x2, because a−x2has never yet been found to result from differentiating anything else. Another simple case. FindZ (x+ 1)( x+ 2)dx. On looking at the function to be integrated, you remark that it is the product of two different functions of x. You could, you think, integrate ( x+1)dxby itself, or ( x+2)dxby itself. Of course you could. But what to do with a product? None of the differentiations you have CALCULUS MADE EASY 198 learned have yielded you for the differential coefficient a product like this. Failing such, the simplest thing is to multiply up the two functions, and then integrate. This gives us Z (x2+ 3x+ 2)dx. And this is the same as Z x2dx+Z 3x dx+Z 2dx. And performing the integrations, we get 1 3x3+3 2x2+ 2x+C. Some other Integrals. Now that we know that integration is the reverse of differentiation, we may at once look up the differential coefficients we already know, and see from what functions they were derived. This gives us the following integrals ready made: x−1(p. 145);Z x−1dx = logϵx+C. 1 x+a(p. 145);Z1 x+adx= logϵ(x+a) +C. ϵx(p. 139);Z ϵxdx =ϵx+C. ϵ−xZ ϵ−xdx =−ϵ−x+C SOME OTHER INTEGRALS 199 (for if y=−1 ϵx,dy dx=−ϵx×0−1×ϵx ϵ2x=ϵ−x). sinx(p. 165);Z sinx dx =−cosx+C. cosx(p. 163);Z cosx dx = sin x+C. Also we may deduce the following: logϵx;Z logϵx dx =x(logϵx−1) +C (for if y=xlogϵx−x,dy dx=x x+ logϵx−1 = logϵx). log10x;Z log10x dx = 0.4343x(logϵx−1) +C. ax(p. 146);Z axdx =ax logϵa+C. cosax;Z cosax dx =1 asinax+C (for if y= sin ax,dy dx=acosax; hence to get cos axone must differen- tiate y=1 asinax). sinax;Z sinax dx =−1 acosax+C. Try also cos2θ; a little dodge will simplify matters: cos 2θ= cos2θ−sin2θ= 2 cos2θ−1; hence cos2θ=1 2(cos 2 θ+ 1), CALCULUS MADE EASY 200 andZ cos2θ dθ=1 2Z (cos 2 θ+ 1)dθ =1 2Z cos 2θ dθ+1 2Z dθ. =sin 2θ 4+θ 2+C.(See also p. 225). See also the Table of Standard Forms on pp. 249–251. You should make such a table for yourself, putting in it only the general functions which you have successfully differentiated and integrated. See to it that it grows steadily! On Double and Triple Integrals.",201-220,31.55
c-g07,calibration,GROUNDED,,integration,How are differentiation and integration related?,How are differentiation and integration related?,0.7039991617202759,0.7022825479507446,0.6910291314125061,0.00171661376953125,0.6666666666666666,"features of the integral calculus:—that you can’t in- tegrate anything before the reverse process of differentiating something else has yielded that expression which you want to integrate. No one, even to-day, is able to find the general integral of the expression, dy dx=a−x2, because a−x2has never yet been found to result from differentiating anything else. Another simple case. FindZ (x+ 1)( x+ 2)dx. On looking at the function to be integrated, you remark that it is the product of two different functions of x. You could, you think, integrate ( x+1)dxby itself, or ( x+2)dxby itself. Of course you could. But what to do with a product? None of the differentiations you have CALCULUS MADE EASY 198 learned have yielded you for the differential coefficient a product like this. Failing such, the simplest thing is to multiply up the two functions, and then integrate. This gives us Z (x2+ 3x+ 2)dx. And this is the same as Z x2dx+Z 3x dx+Z 2dx. And performing the integrations, we get 1 3x3+3 2x2+ 2x+C. Some other Integrals. Now that we know that integration is the reverse of differentiation, we may at once look up the differential coefficients we already know, and see from what functions they were derived. This gives us the following integrals ready made: x−1(p. 145);Z x−1dx = logϵx+C. 1 x+a(p. 145);Z1 x+adx= logϵ(x+a) +C. ϵx(p. 139);Z ϵxdx =ϵx+C. ϵ−xZ ϵ−xdx =−ϵ−x+C SOME OTHER INTEGRALS 199 (for if y=−1 ϵx,dy dx=−ϵx×0−1×ϵx ϵ2x=ϵ−x). sinx(p. 165);Z sinx dx =−cosx+C. cosx(p. 163);Z cosx dx = sin x+C. Also we may deduce the following: logϵx;Z logϵx dx =x(logϵx−1) +C (for if y=xlogϵx−x,dy dx=x x+ logϵx−1 = logϵx). log10x;Z log10x dx = 0.4343x(logϵx−1) +C. ax(p. 146);Z axdx =ax logϵa+C. cosax;Z cosax dx =1 asinax+C (for if y= sin ax,dy dx=acosax; hence to get cos axone must differen- tiate y=1 asinax). sinax;Z sinax dx =−1 acosax+C. Try also cos2θ; a little dodge will simplify matters: cos 2θ= cos2θ−sin2θ= 2 cos2θ−1; hence cos2θ=1 2(cos 2 θ+ 1), CALCULUS MADE EASY 200 andZ cos2θ dθ=1 2Z (cos 2 θ+ 1)dθ =1 2Z cos 2θ dθ+1 2Z dθ. =sin 2θ 4+θ 2+C.(See also p. 225). See also the Table of Standard Forms on pp. 249–251. You should make such a table for yourself, putting in it only the general functions which you have successfully differentiated and integrated. See to it that it grows steadily! On Double and Triple Integrals.",201-220,28.79
c-g08,calibration,GROUNDED,,rules,How do you differentiate a product of two functions?,How do you differentiate a product of two functions?,0.7356981635093689,0.7264965772628784,0.7181552648544312,0.009201586246490479,0.5,"only functions of which the second differ- ential coefficient is equal (and of opposite sign to) the original function. Examples. With what we have so far learned we can now differentiate expres- sions of a more complex nature. (1)y= arc sin x. Ifyis the arc whose sine is x, then x= sin y. dx dy= cos y. Passing now from the inverse function to the original one, we get dy dx=1 dx dy=1 cosy. Now cos y=q 1−sin2y=√ 1−x2; hencedy dx=1√ 1−x2, a rather unexpected result. SINES AND COSINES 169 (2)y= cos3θ. This is the same thing as y= (cos θ)3. Let cos θ=v; then y=v3;dy dv= 3v2. dv dθ=−sinθ. dy dθ=dy dv×dv dθ=−3 cos2θsinθ. (3)y= sin( x+a). Letx+a=v; then y= sin v. dy dv= cos v;dv dx= 1 anddy dx= cos( x+a). (4)y= logϵsinθ. Let sin θ=v;y= logϵv. dy dv=1 v;dv dθ= cos θ; dy dθ=1 sinθ×cosθ= cot θ. (5)y= cot θ=cosθ sinθ. dy dθ=−sin2θ−cos2θ sin2θ =−(1 + cot2θ) =−cosec2θ. (6)y= tan 3 θ. Let 3 θ=v;y= tan v;dy dv= sec2v. dv dθ= 3;dy dθ= 3 sec23θ.",161-180,30.06
c-g09,calibration,GROUNDED,,limits,What is a limit in calculus?,What is a limit in calculus?,0.6308437585830688,0.6253993511199951,0.6222654581069946,0.0054444074630737305,0.5,"the amount you spend in a short CALCULUS MADE EASY 54 time dtbe called dy, the rateof spending it will bedy dt, or rather, should be written with a minus sign, as −dy dt, because dyis adecrement , not an increment. But money is not a good example for the calculus, because it generally comes and goes by jumps, not by a continuous flow—you may earn £200 a year, but it does not keep running in all day long in a thin stream; it comes in only weekly, or monthly, or quarterly, in lumps: and your expenditure also goes out in sudden payments. A more apt illustration of the idea of a rate is furnished by the speed of a moving body. From London (Euston station) to Liverpool is 200 miles. If a train leaves London at 7 o’clock, and reaches Liverpool at 11 o’clock, you know that, since it has travelled 200 miles in 4 hours, its average rate must have been 50 miles per hour; because200 4=50 1. Here you are really making a mental comparison between the distance passed over and the time taken to pass over it. You are dividing one by the other. If yis the whole distance, and tthe whole time, clearly the average rate isy t. Now the speed was not actually constant all the way: at starting, and during the slowing up at the end of the journey, the speed was less. Probably at some part, when running downhill, the speed was over 60 miles an hour. If, during any particular element of time dt, the corresponding element of distance passed over was dy, then at that part of the journey the speed wasdy dt. The rateat which one quantity (in the present instance, distance ) is changing in relation to the other quantity (in this case, time) is properly expressed, then, by stating the differential coefficient of one with respect to the other. Avelocity , scientifically expressed, is the rate at which a very small distance in any given direction is being passed over; and may therefore WHEN TIME VARIES 55 be written v=dy dt. But if the velocity vis not uniform, then it must be either increasing or else decreasing. The rate at which a velocity is increasing is called the acceleration . If a moving body is, at any particular instant, gaining an additional velocity dvin an element of",61-80,30.43
c-g10,calibration,GROUNDED,,rules,Explain the power rule for differentiation.,Explain the power rule for differentiation.,0.7022562026977539,0.6628547310829163,0.6666063070297241,0.039401471614837646,0.5,"EASY 140 Now we might have gone to work the other way, and said: Go to; let us find a function of x, such that its differential coefficient is the same as itself. Or, is there any expression, involving only powers of x, which is unchanged by differentiation? Accordingly; let us assume as a general expression that y=A+Bx+Cx2+Dx3+Ex4+ etc ., (in which the coefficients A,B,C, etc. will have to be determined), and differentiate it. dy dx=B+ 2Cx+ 3Dx2+ 4Ex3+ etc . Now, if this new expression is really to be the same as that from which it was derived, it is clear that Amust =B; that C=B 2=A 1·2; thatD=C 3=A 1·2·3; that E=D 4=A 1·2·3·4, etc. The law of change is therefore that y=A 1 +x 1+x2 1·2+x3 1·2·3+x4 1·2·3·4+ etc . . If, now, we take A= 1 for the sake of further simplicity, we have y= 1 +x 1+x2 1·2+x3 1·2·3+x4 1·2·3·4+ etc . Differentiating it any number of times will give always the same series over again. If, now, we take the particular case of A= 1, and evaluate the THE LAW OF ORGANIC GROWTH 141 series, we shall get simply when x= 1, y = 2.718281 etc.; that is, y=ϵ; when x= 2, y = (2.718281 etc.)2; that is, y=ϵ2; when x= 3, y = (2.718281 etc.)3; that is, y=ϵ3; and therefore when x=x, y = (2.718281 etc .)x; that is, y=ϵx, thus finally demonstrating that ϵx= 1 +x 1+x2 1·2+x3 1·2·3+x4 1·2·3·4+ etc . [Note .—How to read exponentials . For the benefit of those who have no tutor at hand it may be of use to state that ϵxis read as “epsilon to the eksth power ;” or some people read it “ exponential eks .” Soϵptis read “ epsilon to the pee-teeth-power ” or “ exponential pee tee .” Take some similar expressions:—Thus, ϵ−2is read “ epsilon to the minus two power ” or “ exponential minus two .”ϵ−axis read “ epsilon to the minus ay-eksth ” or “ exponential minus ay-eks .”] Of course it follows that ϵyremains unchanged if differentiated with respect to y. Also ϵax, which is equal to ( ϵa)x, will, when differentiated with respect to x, beaϵax, because ais a constant. Natural or Naperian Logarithms. Another reason why ϵis important is because it was made by Napier, the inventor of logarithms, the basis of his system. If",141-160,30.14
