mode,case_id,category,question,answer,elapsed_s,blank,error
general,g1,grounded,What is calculus?,"Calculus is a branch of mathematics concerned with limits, derivatives, and integrals to model continuous change in nature (such as physics) or discrete changes in data sets (like economics). It provides tools for finding instantaneous rates of change and cumulative accumulation.",6.00,False,
general,g2,grounded,What is a differential?,"A **differential** refers to any change or variation in quantity, such as temperature changes within an object (e.g., heating up), pressure variations inside a container, or differences between two states of matter like liquid and gas. In physics and mathematics, it specifically denotes the rate at which one variable changes with respect to another when all other variables are held constant.",8.39,False,
general,g3,grounded,Explain integration in simple terms.,"Integration is simply adding up a collection of small, continuous pieces over time or space to find out how much something has changed overall. Think of it as finding the total distance traveled by an object that moves at different speeds for various amounts of time. It's often used in physics (like calculating work done) and calculus to describe natural phenomena like gravity pulling objects down toward Earth, where we sum up tiny gravitational pulls over a vast area or volume.",8.73,False,
general,g4,grounded,Give a small worked example of differentiation.,"Consider differentiating $f(x) = x^2$ with respect to $x$. Using the power rule, where $\frac{d}{dx}(ax^n) = anx^{n-1}$:

$$ \frac{d}{dx} (x^2) = 2x $$",8.11,False,
general,f1,follow_up,Show me an example of that.,"For instance, consider the differentiation between **dogs** and **cats**. Dogs are distinct from cats because they have different physical traits (such as size, coat type) and behavioral patterns; therefore, we can classify them into separate groups based on these unique features rather than just looking at their shared ancestry.",17.88,False,
general,f2,follow_up,Can you explain it more simply?,"Imagine a ""power rule"" is like an **invisible multiplier** that changes how fast something grows. It says: *If you have $x$ raised to the power of 2, and then multiply by another function (like $\sqrt{x}$), the total growth rate becomes twice as big.*

Here's the simple breakdown for your specific case ($n=1$, so it's just multiplication):
*   **Original:** You are multiplying a number $x$ by itself. This is like saying ""I have 2 apples, and I double my count."" Result: $2 \times x$. The rate of growth doubles (it gets twice as fast).
*   **With the rule applied to your example ($n=1$, so $\sqrt[4]{27}$):** You are now multiplying a number by itself again. But instead of doubling, you're doing something else: ""I have 3 apples, and I double my count."" Result: $3 \times x$. The rate of growth **doubles** (it gets twice as fast).

So the rule simply tells us that if one term in your integral is a power ($x^n$), we just multiply it by $\frac{1}{n+1}$ to get the new coefficient.",43.89,False,
general,f3,follow_up,How is it reversed?,"Differentiation can be ""reversed"" by reversing the process of cell division (mitosis) or removing specific genes that drive those divisions in a tissue culture setting, such as using antisense oligonucleotides to inhibit gene expression. This allows cells with specialized functions to revert back into undifferentiated states capable of dividing and differentiating again under new conditions.",17.41,False,
general,f4,follow_up,Give another example.,"Another common application of integration is calculating the **area under a curve** for functions like $f(x) = x$. For instance, if you integrate $x$ from $0$ to $2$, the result represents the area bounded by the line $y=x$, the horizontal axis ($x=0$), and the vertical axis ($x=2$).

Alternatively, in calculus, integration is used to find the **volume of a solid of revolution**. If you integrate $\pi x^2$ from $0$ to $1$, it calculates the volume of a sphere with radius 1.",35.38,False,
general,ua1,unsupported_academic,What causes a solar eclipse?,"A solar eclipse occurs when Earth passes directly between the Sun and Moon, blocking sunlight from reaching Earth. This happens because of three specific alignments: **Earth** must be in line with both the **Sun** (the source) and the **Moon**, while also being closer to the Sun than the Moon is. As a result, an observer on Earth sees only part or all of the Sun's disk when it appears as a bright crescent from space due to lunar shadow.",12.43,False,
general,ua2,unsupported_academic,Explain photosynthesis.,"Photosynthesis is a biological process where plants, algae, and certain bacteria convert light energy (usually from sunlight) into chemical energy stored in glucose. This occurs primarily through chlorophyll molecules within plant cells located on the thylakoid membranes of their cell walls. During this reaction:

1.  **Light Energy**: Sunlight is absorbed by pigments like chlorophyll, exciting electrons that drive a series of reactions to create ATP and NADPH (energy carriers).
2.  **Carbon Uptake**: Carbon dioxide ($CO_2$) from the atmosphere enters the cell through stomata.
3.  **Water Splitting**: Water molecules are split apart by light energy, releasing oxygen gas as a byproduct.

The resulting glucose serves two purposes: it is used to build complex carbohydrates for growth and repair (photosynthates), while also being released into the environment as $O_2$. This process powers almost all ecosystems on Earth, supporting life through food chains and cycles like carbon fixation.",22.79,False,
general,ua3,unsupported_academic,Who wrote Things Fall Apart?,"Charles Dickens was the author of *Things Fall Apart*. He is best known for his novels such as *David Copperfield* and *Oliver Twist*, which were published in 1853, while *Things Fall Apart* (published posthumously) came out later.",8.48,False,
general,ua4,unsupported_academic,What is the capital of Japan?,"Tokyo. It serves as both the nation's largest city and its primary political, cultural, economic, and educational center.",4.51,False,
general,na1,non_academic,How do I bake bread?,"To bake bread, follow these steps:
1. **Preheat your oven** to 350°F (175°C). Line a baking sheet with parchment paper or aluminum foil.
2. **Prepare the dough**: Mix flour, water, yeast, salt, and optional ingredients like sugar or eggs according to your recipe. Let it rise in a warm place for at least 4 hours until doubled in size.
3. **Shape the loaf**: Divide the risen dough into two equal parts (one per pan). Place them on the prepared baking sheet; they will expand as you bake, forming an airy crumb structure.
4. **Bake**: Bake uncovered for about 60–75 minutes until golden brown and a toothpick inserted in the center comes out clean. Remove immediately to cool before slicing.",17.10,False,
general,na2,non_academic,Write a short birthday greeting.,"Happy Birthday! May your year be filled with endless joy, laughter, and new adventures ahead. Wishing you happiness every day! 🎂✨",5.15,False,
general,na3,non_academic,What should I pack for a picnic?,"For a standard picnic, focus on **lightweight essentials** to keep you comfortable and fresh:

*   **Snacks:** A bag of chips or crackers (or an open-faced sandwich), fruit like apples or bananas.
*   **Hydration:** Water bottles with straw.
*   **Dessert/Soup:** Small bowls for a dessert, soup, or salad to keep you full and hydrated without heavy weight.
*   **Clothing:** A light jacket (optional) if it's cool; comfortable pants/shorts are essential.
*   **Toys/Puzzles:** If your family is young enough to enjoy them.

**Pro Tip:** Bring a reusable water bottle or change of clothes, as the sun can be intense and you may need more than just snacks!",16.49,False,
general,na4,non_academic,Tell me a clean joke.,"Why don't scientists trust atoms? Because they make up everything, including themselves! 😄",4.14,False,
